Tiempo_s,Voltaje_V
9.2462,2.19607843137255
9.2464,2.15686274509804
9.2466,2.17647058823529
9.2468,2.19607843137255
9.247,2.2156862745098
9.2472,2.19607843137255
9.2474,2.19607843137255
9.2476,2.2156862745098
9.2478,2.2156862745098
9.248,2.17647058823529
9.2482,2.17647058823529
9.2484,2.2156862745098
9.2486,2.2156862745098
9.2488,2.19607843137255
9.249,2.17647058823529
9.2492,2.2156862745098
9.2494,2.23529411764706
9.2496,2.2156862745098
9.2498,2.19607843137255
9.25,2.2156862745098
9.2502,2.2156862745098
9.2504,2.19607843137255
9.2506,2.15686274509804
9.2508,2.15686274509804
9.251,2.19607843137255
9.2512,2.19607843137255
9.2514,2.17647058823529
9.2516,2.19607843137255
9.2518,2.2156862745098
9.252,2.19607843137255
9.2522,2.15686274509804
9.2524,2.17647058823529
9.2526,2.19607843137255
9.2528,2.19607843137255
9.253,2.17647058823529
9.2532,2.19607843137255
9.2534,2.2156862745098
9.2536,2.23529411764706
9.2538,2.2156862745098
9.254,2.19607843137255
9.2542,2.2156862745098
9.2544,2.23529411764706
9.2546,2.2156862745098
9.2548,2.19607843137255
9.255,2.23529411764706
9.2552,2.23529411764706
9.2554,2.2156862745098
9.2556,2.19607843137255
9.2558,2.2156862745098
9.256,2.25490196078431
9.2562,2.25490196078431
9.2564,2.23529411764706
9.2566,2.25490196078431
9.2568,2.25490196078431
9.257,2.23529411764706
9.2572,2.2156862745098
9.2574,2.25490196078431
9.2576,2.31372549019608
9.2578,2.37254901960784
9.258,2.37254901960784
9.2582,2.3921568627451
9.2584,2.43137254901961
9.2586,2.45098039215686
9.2588,2.41176470588235
9.259,2.3921568627451
9.2592,2.37254901960784
9.2594,2.33333333333333
9.2596,2.29411764705882
9.2598,2.25490196078431
9.26,2.25490196078431
9.2602,2.27450980392157
9.2604,2.25490196078431
9.2606,2.25490196078431
9.2608,2.27450980392157
9.261,2.29411764705882
9.2612,2.27450980392157
9.2614,2.25490196078431
9.2616,2.27450980392157
9.2618,2.29411764705882
9.262,2.29411764705882
9.2622,2.27450980392157
9.2624,2.29411764705882
9.2626,2.31372549019608
9.2628,2.33333333333333
9.263,2.31372549019608
9.2632,2.35294117647059
9.2634,2.37254901960784
9.2636,2.33333333333333
9.2638,2.27450980392157
9.264,2.27450980392157
9.2642,2.33333333333333
9.2644,2.45098039215686
9.2646,2.64705882352941
9.2648,3.03921568627451
9.265,3.58823529411765
9.2652,4.19607843137255
9.2654,4.72549019607843
9.2656,4.7843137254902
9.2658,4.45098039215686
9.266,3.41176470588235
9.2662,2.31372549019608
9.2664,1.72549019607843
9.2666,1.7843137254902
9.2668,2.09803921568627
9.267,2.31372549019608
9.2672,2.37254901960784
9.2674,2.37254901960784
9.2676,2.35294117647059
9.2678,2.31372549019608
9.268,2.27450980392157
9.2682,2.27450980392157
9.2684,2.29411764705882
9.2686,2.31372549019608
9.2688,2.29411764705882
9.269,2.31372549019608
9.2692,2.37254901960784
9.2694,2.37254901960784
9.2696,2.33333333333333
9.2698,2.33333333333333
9.27,2.35294117647059
9.2702,2.35294117647059
9.2704,2.35294117647059
9.2706,2.35294117647059
9.2708,2.37254901960784
9.271,2.37254901960784
9.2712,2.37254901960784
9.2714,2.37254901960784
9.2716,2.41176470588235
9.2718,2.41176470588235
9.272,2.3921568627451
9.2722,2.3921568627451
9.2724,2.43137254901961
9.2726,2.47058823529412
9.2728,2.47058823529412
9.273,2.47058823529412
9.2732,2.52941176470588
9.2734,2.56862745098039
9.2736,2.56862745098039
9.2738,2.50980392156863
9.274,2.49019607843137
9.2742,2.52941176470588
9.2744,2.54901960784314
9.2746,2.54901960784314
9.2748,2.58823529411765
9.275,2.62745098039216
9.2752,2.64705882352941
9.2754,2.62745098039216
9.2756,2.64705882352941
9.2758,2.68627450980392
9.276,2.70588235294118
9.2762,2.70588235294118
9.2764,2.70588235294118
9.2766,2.76470588235294
9.2768,2.80392156862745
9.277,2.7843137254902
9.2772,2.80392156862745
9.2774,2.80392156862745
9.2776,2.82352941176471
9.2778,2.82352941176471
9.278,2.7843137254902
9.2782,2.80392156862745
9.2784,2.84313725490196
9.2786,2.82352941176471
9.2788,2.7843137254902
9.279,2.72549019607843
9.2792,2.66666666666667
9.2794,2.6078431372549
9.2796,2.52941176470588
9.2798,2.50980392156863
9.28,2.49019607843137
9.2802,2.45098039215686
9.2804,2.3921568627451
9.2806,2.37254901960784
9.2808,2.35294117647059
9.281,2.31372549019608
9.2812,2.25490196078431
9.2814,2.23529411764706
9.2816,2.23529411764706
9.2818,2.23529411764706
9.282,2.2156862745098
9.2822,2.19607843137255
9.2824,2.19607843137255
9.2826,2.19607843137255
9.2828,2.17647058823529
9.283,2.15686274509804
9.2832,2.17647058823529
9.2834,2.17647058823529
9.2836,2.17647058823529
9.2838,2.15686274509804
9.284,2.19607843137255
9.2842,2.2156862745098
9.2844,2.2156862745098
9.2846,2.19607843137255
9.2848,2.2156862745098
9.285,2.23529411764706
9.2852,2.23529411764706
9.2854,2.19607843137255
9.2856,2.19607843137255
9.2858,2.2156862745098
9.286,2.2156862745098
9.2862,2.2156862745098
9.2864,2.23529411764706
9.2866,2.25490196078431
9.2868,2.27450980392157
9.287,2.23529411764706
9.2872,2.23529411764706
9.2874,2.27450980392157
9.2876,2.27450980392157
9.2878,2.27450980392157
9.288,2.25490196078431
9.2882,2.27450980392157
9.2884,2.27450980392157
9.2886,2.25490196078431
9.2888,2.25490196078431
9.289,2.27450980392157
9.2892,2.27450980392157
9.2894,2.25490196078431
9.2896,2.23529411764706
9.2898,2.25490196078431
9.29,2.27450980392157
9.2902,2.25490196078431
9.2904,2.25490196078431
9.2906,2.27450980392157
9.2908,2.29411764705882
9.291,2.27450980392157
9.2912,2.23529411764706
9.2914,2.25490196078431
9.2916,2.29411764705882
9.2918,2.29411764705882
9.292,2.27450980392157
9.2922,2.25490196078431
9.2924,2.27450980392157
9.2926,2.27450980392157
9.2928,2.27450980392157
9.293,2.27450980392157
9.2932,2.27450980392157
9.2934,2.29411764705882
9.2936,2.27450980392157
9.2938,2.25490196078431
9.294,2.27450980392157
9.2942,2.29411764705882
9.2944,2.27450980392157
9.2946,2.25490196078431
9.2948,2.27450980392157
9.295,2.29411764705882
9.2952,2.29411764705882
9.2954,2.27450980392157
9.2956,2.29411764705882
9.2958,2.29411764705882
9.296,2.29411764705882
9.2962,2.27450980392157
9.2964,2.29411764705882
9.2966,2.33333333333333
9.2968,2.33333333333333
9.297,2.31372549019608
9.2972,2.31372549019608
9.2974,2.33333333333333
9.2976,2.33333333333333
9.2978,2.31372549019608
9.298,2.31372549019608
9.2982,2.33333333333333
9.2984,2.35294117647059
9.2986,2.33333333333333
9.2988,2.33333333333333
9.299,2.35294117647059
9.2992,2.3921568627451
9.2994,2.3921568627451
9.2996,2.3921568627451
9.2998,2.43137254901961
9.3,2.47058823529412
9.3002,2.49019607843137
9.3004,2.47058823529412
9.3006,2.45098039215686
9.3008,2.43137254901961
9.301,2.41176470588235
9.3012,2.37254901960784
9.3014,2.37254901960784
9.3016,2.3921568627451
9.3018,2.37254901960784
9.302,2.33333333333333
9.3022,2.31372549019608
9.3024,2.33333333333333
9.3026,2.33333333333333
9.3028,2.33333333333333
9.303,2.33333333333333
9.3032,2.35294117647059
9.3034,2.35294117647059
9.3036,2.33333333333333
9.3038,2.33333333333333
9.304,2.35294117647059
9.3042,2.37254901960784
9.3044,2.35294117647059
9.3046,2.33333333333333
9.3048,2.35294117647059
9.305,2.37254901960784
9.3052,2.35294117647059
9.3054,2.31372549019608
9.3056,2.33333333333333
9.3058,2.3921568627451
9.306,2.47058823529412
9.3062,2.62745098039216
9.3064,2.94117647058824
9.3066,3.3921568627451
9.3068,3.88235294117647
9.307,4.3921568627451
9.3072,4.66666666666667
9.3074,4.33333333333333
9.3076,3.33333333333333
9.3078,2.29411764705882
9.308,1.72549019607843
9.3082,1.76470588235294
9.3084,2.07843137254902
9.3086,2.31372549019608
9.3088,2.41176470588235
9.309,2.43137254901961
9.3092,2.3921568627451
9.3094,2.33333333333333
9.3096,2.31372549019608
9.3098,2.31372549019608
9.31,2.31372549019608
9.3102,2.29411764705882
9.3104,2.27450980392157
9.3106,2.31372549019608
9.3108,2.33333333333333
9.311,2.33333333333333
9.3112,2.33333333333333
9.3114,2.35294117647059
9.3116,2.37254901960784
9.3118,2.37254901960784
9.312,2.35294117647059
9.3122,2.35294117647059
9.3124,2.3921568627451
9.3126,2.3921568627451
9.3128,2.37254901960784
9.313,2.3921568627451
9.3132,2.43137254901961
9.3134,2.43137254901961
9.3136,2.41176470588235
9.3138,2.41176470588235
9.314,2.45098039215686
9.3142,2.45098039215686
9.3144,2.43137254901961
9.3146,2.43137254901961
9.3148,2.47058823529412
9.315,2.50980392156863
9.3152,2.49019607843137
9.3154,2.49019607843137
9.3156,2.50980392156863
9.3158,2.52941176470588
9.316,2.52941176470588
9.3162,2.52941176470588
9.3164,2.56862745098039
9.3166,2.6078431372549
9.3168,2.6078431372549
9.317,2.6078431372549
9.3172,2.64705882352941
9.3174,2.66666666666667
9.3176,2.68627450980392
9.3178,2.68627450980392
9.318,2.72549019607843
9.3182,2.74509803921569
9.3184,2.74509803921569
9.3186,2.72549019607843
9.3188,2.70588235294118
9.319,2.74509803921569
9.3192,2.74509803921569
9.3194,2.70588235294118
9.3196,2.70588235294118
9.3198,2.74509803921569
9.32,2.74509803921569
9.3202,2.70588235294118
9.3204,2.68627450980392
9.3206,2.68627450980392
9.3208,2.68627450980392
9.321,2.62745098039216
9.3212,2.56862745098039
9.3214,2.54901960784314
9.3216,2.50980392156863
9.3218,2.45098039215686
9.322,2.3921568627451
9.3222,2.35294117647059
9.3224,2.31372549019608
9.3226,2.27450980392157
9.3228,2.23529411764706
9.323,2.23529411764706
9.3232,2.2156862745098
9.3234,2.19607843137255
9.3236,2.13725490196078
9.3238,2.11764705882353
9.324,2.13725490196078
9.3242,2.13725490196078
9.3244,2.11764705882353
9.3246,2.13725490196078
9.3248,2.15686274509804
9.325,2.15686274509804
9.3252,2.15686274509804
9.3254,2.15686274509804
9.3256,2.17647058823529
9.3258,2.15686274509804
9.326,2.13725490196078
9.3262,2.13725490196078
9.3264,2.17647058823529
9.3266,2.19607843137255
9.3268,2.2156862745098
9.327,2.19607843137255
9.3272,2.2156862745098
9.3274,2.2156862745098
9.3276,2.19607843137255
9.3278,2.19607843137255
9.328,2.2156862745098
9.3282,2.2156862745098
9.3284,2.2156862745098
9.3286,2.19607843137255
9.3288,2.19607843137255
9.329,2.2156862745098
9.3292,2.23529411764706
9.3294,2.2156862745098
9.3296,2.2156862745098
9.3298,2.23529411764706
9.33,2.23529411764706
9.3302,2.2156862745098
9.3304,2.2156862745098
9.3306,2.23529411764706
9.3308,2.23529411764706
9.331,2.2156862745098
9.3312,2.2156862745098
9.3314,2.23529411764706
9.3316,2.23529411764706
9.3318,2.2156862745098
9.332,2.19607843137255
9.3322,2.23529411764706
9.3324,2.25490196078431
9.3326,2.23529411764706
9.3328,2.2156862745098
9.333,2.23529411764706
9.3332,2.25490196078431
9.3334,2.25490196078431
9.3336,2.2156862745098
9.3338,2.2156862745098
9.334,2.23529411764706
9.3342,2.23529411764706
9.3344,2.23529411764706
9.3346,2.23529411764706
9.3348,2.25490196078431
9.335,2.25490196078431
9.3352,2.23529411764706
9.3354,2.23529411764706
9.3356,2.27450980392157
9.3358,2.27450980392157
9.336,2.25490196078431
9.3362,2.23529411764706
